date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:21	9466/9466	---M--	200	added ('OK')	image/jpeg	etag:%22ccfb9f8e88d32304864ef61062573964%22	http://product.hstatic.net/200000281647/product/trang_co_ten_d0442da150b8408c9317a2a8a290e47b_grande.jpg	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/trang_co_ten_d0442da150b8408c9317a2a8a290e47b_grande.jpg	(from https://onthecard.vn/)
15:55:22	6775/6775	---M--	200	added ('OK')	image/jpeg	etag:%22f3a4b9a32d9ec7bb79ae66db295adcf2%22	http://product.hstatic.net/200000281647/product/white_ms_copy_2c1bc3d4f6c447d68d542cd3ab19796a_large.jpg	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/white_ms_copy_2c1bc3d4f6c447d68d542cd3ab19796a_large.jpg	(from https://onthecard.vn/)
15:55:24	12247/12247	---M--	200	added ('OK')	image/jpeg	etag:%22855dfcb9321ec7b270b021f2ef877073%22	http://product.hstatic.net/200000281647/product/white_ms_copy_2c1bc3d4f6c447d68d542cd3ab19796a_grande.jpg	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/white_ms_copy_2c1bc3d4f6c447d68d542cd3ab19796a_grande.jpg	(from https://onthecard.vn/)
15:55:28	11799/11799	---M--	200	added ('OK')	image/png	etag:%229e11007d4cd79be22bc77f760c7dcae7%22	http://product.hstatic.net/200000281647/product/ko_ten3__b0ec0adce18747ee88e37be1d1a03474_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/ko_ten3__b0ec0adce18747ee88e37be1d1a03474_medium.png	(from https://onthecard.vn/)
15:55:29	492654/492654	---MCZ	200	added ('OK')	text/html	etag:W/%227e35d454ddcb4d469e6018e04bae9ba1%22	https://onthecard.vn/products/danh-thiep-thong-minh-onthecard-2-0-black-ver	G:/backup/onthecard_v2/onthecard.vn/products/danh-thiep-thong-minh-onthecard-2-0-black-ver.html	(from https://onthecard.vn/)
15:55:33	30408/30408	---M--	200	added ('OK')	image/png	etag:%22a41c7ff2a0b55588b3bc9098c6995b41%22	http://product.hstatic.net/200000281647/product/ko_ten3__b0ec0adce18747ee88e37be1d1a03474_large.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/ko_ten3__b0ec0adce18747ee88e37be1d1a03474_large.png	(from https://onthecard.vn/)
15:55:35	10575/10575	---M--	200	added ('OK')	image/png	etag:%225a8555c36c8de87ce1ccab65255be773%22	http://product.hstatic.net/200000281647/product/ko_ten4__3cc6d924f04b4faf965c3c701535d328_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/ko_ten4__3cc6d924f04b4faf965c3c701535d328_medium.png	(from https://onthecard.vn/)
15:55:38	53355/53355	---M--	200	added ('OK')	image/png	etag:%223da3b80b25a6a848f7c32ba1af099b27%22	http://product.hstatic.net/200000281647/product/ko_ten3__b0ec0adce18747ee88e37be1d1a03474_grande.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/ko_ten3__b0ec0adce18747ee88e37be1d1a03474_grande.png	(from https://onthecard.vn/)
15:55:40	24869/24869	---M--	200	added ('OK')	image/png	etag:%229d3503742f5e1fcc7c3ed74be61ca222%22	http://product.hstatic.net/200000281647/product/ko_ten4__3cc6d924f04b4faf965c3c701535d328_large.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/ko_ten4__3cc6d924f04b4faf965c3c701535d328_large.png	(from https://onthecard.vn/)
15:55:44	448026/448026	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2008:55:40%20GMT	https://onthecard.vn/Mua%20ngay	G:/backup/onthecard_v2/onthecard.vn/Mua%20ngay.59.delayed	(from https://onthecard.vn/)
15:55:47	31818/31818	---M--	200	added ('OK')	image/png	etag:%222cbaf04360086c6e59c691fd4954f32a%22	http://product.hstatic.net/200000281647/product/ko_ten4__3cc6d924f04b4faf965c3c701535d328_grande.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/ko_ten4__3cc6d924f04b4faf965c3c701535d328_grande.png	(from https://onthecard.vn/)
